category|dataset|variable|Vascular plants|Fungi & Lichens|Mammals
bioclim|chclim25|bio10|1|1|1
bioclim|chclim25|bio6|1|1|1
bioclim|chclim25|bio11|1|1|1
bioclim|chclim25|bio18|1|1|1
bioclim|chclim25|bio14|1|1|1
bioclim|chclim25|bio8|1|1|1
bioclim|chclim25|bio3|1|1|1
bioclim|chclim25|bio1|1|1|1
bioclim|chclim25|bio16|1|1|1
bioclim|chclim25|bio2|1|1|1
bioclim|chclim25|bio15|1|1|1
bioclim|chclim25|bio9|1|1|1
bioclim|chclim25|bio13|1|1|1
bioclim|chclim25|bio5|1|1|1
bioclim|chclim25|bio7|1|1|1
bioclim|chclim25|bio17|1|1|1
bioclim|chclim25|bio12|1|1|1
bioclim|chclim25|bio19|1|1|1
bioclim|chclim25|bio4|1|1|1
bioclim|chelsa|bio10|1|1|1
bioclim|chelsa|bio6|1|1|1
bioclim|chelsa|bio11|1|1|1
bioclim|chelsa|bio18|1|1|1
bioclim|chelsa|bio14|1|1|1
bioclim|chelsa|bio8|1|1|1
bioclim|chelsa|bio3|1|1|1
bioclim|chelsa|bio1|1|1|1
bioclim|chelsa|bio16|1|1|1
bioclim|chelsa|bio2|1|1|1
bioclim|chelsa|bio15|1|1|1
bioclim|chelsa|bio9|1|1|1
bioclim|chelsa|bio13|1|1|1
bioclim|chelsa|bio5|1|1|1
bioclim|chelsa|bio7|1|1|1
bioclim|chelsa|bio17|1|1|1
bioclim|chelsa|bio12|1|1|1
bioclim|chelsa|bio19|1|1|1
bioclim|chelsa|bio4|1|1|1
edaphic|modiffus3|n_fracht|1|1|0
edaphic|modiffus3|p_fracht|1|1|0
edaphic|eivdescombes|k|1|1|0
edaphic|eivdescombes|h|1|1|0
edaphic|eivdescombes|l|1|1|0
edaphic|eivdescombes|w|1|1|0
edaphic|eivdescombes|r|1|1|0
edaphic|eivdescombes|d|1|1|0
edaphic|eivdescombes|n|1|1|0
edaphic|eivdescombes|f|1|1|0
lulc|geostat8|cl2|1|1|1
lulc|geostat8|cl4|1|1|1
lulc|geostat8|cl3|1|1|1
lulc|geostat8|cl5|1|1|1
lulc|geostat8|cl7|1|1|1
lulc|geostat8|cl1|1|1|1
lulc|geostat8|cl6|1|1|1
popdensity|statpop13|populationdensity|1|1|1
topo|alti3d2016|slope|1|1|1
topo|alti3d2016|aspect|1|1|1
topo|alti3d2016|hillshade|1|1|1
transport|sonbase|noise|1|1|1
transport|tlm3d|dist2road|1|1|1
vege|nfi|canopy|1|1|1
